(+)-7-epi-jasmonate <=> (-)-jasmonate	1579	3
an [HPr protein]-Nπ-phospho-L-histidine + aldehydo-D-mannose[periplasm] -> aldehydo-D-mannose 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 630 	631 1922 
an [HPr protein]-Nπ-phospho-L-histidine + D-cellobiose[periplasm] -> D-cellobiose 6'-phosphate[cytosol] + an [HPr]-L-histidine	1924 2264 	2265 1922 
an [HPr protein]-Nπ-phospho-L-histidine + D-fructose[periplasm] -> D-fructose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 2266 	2267 1922 
an [HPr protein]-Nπ-phospho-L-histidine + D-glucosamine[periplasm] -> D-glucosamine 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 2268 	2120 1922 
an [HPr protein]-Nπ-phospho-L-histidine + D-glucose[periplasm] -> D-glucose 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 2269 	2270 1922 
an [HPr protein]-Nπ-phospho-L-histidine + D-mannitol[periplasm] -> D-mannitol 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 903 	904 1922 
an [HPr protein]-Nπ-phospho-L-histidine + D-mannose[periplasm] -> D-mannose 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 2271 	2272 1922 
an [HPr protein]-Nπ-phospho-L-histidine + D-sorbitol[periplasm] -> D-sorbitol 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 914 	915 1922 
an [HPr protein]-Nπ-phospho-L-histidine + galactitol[out] -> galactitol 1-phosphate[in] + an [HPr]-L-histidine	1924 998 	999 1922 
an [HPr protein]-Nπ-phospho-L-histidine + keto-D-fructose[periplasm] -> keto-D-fructose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 1110 	1111 1922 
an [HPr protein]-Nπ-phospho-L-histidine + keto-L-sorbose[periplasm] -> keto-L-sorbose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 1115 	1116 1922 
an [HPr protein]-Nπ-phospho-L-histidine + L-ascorbate[periplasm] -> L-ascorbate 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 1137 	1138 1922 
an [HPr protein]-Nπ-phospho-L-histidine + L-sorbose[periplasm] -> an L-sorbose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 2273 	2274 1922 
an [HPr protein]-Nπ-phospho-L-histidine + lactose[periplasm] -> lactose 6'-phosphate[cytosol] + an [HPr]-L-histidine	1924 2275 	2276 1922 
an [HPr protein]-Nπ-phospho-L-histidine + maltose[periplasm] -> maltose 6'-phosphate[cytosol] + an [HPr]-L-histidine	1924 2076 	2277 1922 
an [HPr protein]-Nπ-phospho-L-histidine + salicin[periplasm] -> salicin 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 1437 	1438 1922 
an [HPr protein]-Nπ-phospho-L-histidine + trehalose[periplasm] -> D-trehalose 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 2278 	2279 1922 
an [HPr protein]-Nπ-phospho-L-histidine + α,α-trehalose[periplasm] -> α,α-trehalose 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 2280 	2281 1922 
an [HPr protein]-Nπ-phospho-L-histidine + α,β-trehalose[periplasm] -> α,β-trehalose 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 2282 	2283 1922 
an [HPr protein]-Nπ-phospho-L-histidine + α-D-cellobiose[periplasm] -> α-D-cellobiose 6'-phosphate[cytosol] + an [HPr]-L-histidine	1924 2284 	2285 1922 
an [HPr protein]-Nπ-phospho-L-histidine + α-D-fructofuranose[periplasm] -> α-D-fructofuranose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 2286 	2287 1922 
an [HPr protein]-Nπ-phospho-L-histidine + α-D-mannopyranose[periplasm] -> α-D-mannopyranose 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 2288 	2289 1922 
an [HPr protein]-Nπ-phospho-L-histidine + α-L-sorbofuranose[periplasm] -> α-L-sorbofuranose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 2290 	2291 1922 
an [HPr protein]-Nπ-phospho-L-histidine + α-L-sorbopyranose[periplasm] -> α-L-sorbopyranose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 2292 	2293 1922 
an [HPr protein]-Nπ-phospho-L-histidine + α-lactose[periplasm] -> α-lactose 6'-phosphate[cytosol] + an [HPr]-L-histidine	1924 2294 	2295 1922 
an [HPr protein]-Nπ-phospho-L-histidine + α-maltose[periplasm] -> α-maltose 6'-phosphate[cytosol] + an [HPr]-L-histidine	1924 2296 	2297 1922 
an [HPr protein]-Nπ-phospho-L-histidine + β-D-cellobiose[periplasm] -> β-D-cellobiose 6'-phosphate[cytosol] + an [HPr]-L-histidine	1924 755 	756 1922 
an [HPr protein]-Nπ-phospho-L-histidine + β-D-fructofuranose[periplasm] -> β-D-fructofuranose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 757 	758 1922 
an [HPr protein]-Nπ-phospho-L-histidine + β-D-fructopyranose[periplasm] -> β-D-fructopyranose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 760 	761 1922 
an [HPr protein]-Nπ-phospho-L-histidine + β-D-mannopyranose[periplasm] -> β-D-mannopyranose 6-phosphate[cytosol] + an [HPr]-L-histidine	1924 771 	772 1922 
an [HPr protein]-Nπ-phospho-L-histidine + β-L-sorbofuranose[periplasm] -> β-L-sorbofuranose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 784 	785 1922 
an [HPr protein]-Nπ-phospho-L-histidine + β-L-sorbopyranose[periplasm] -> β-L-sorbopyranose 1-phosphate[cytosol] + an [HPr]-L-histidine	1924 786 	787 1922 
an [HPr protein]-Nπ-phospho-L-histidine + β-lactose[periplasm] -> β-lactose 6'-phosphate[cytosol] + an [HPr]-L-histidine	1924 788 	789 1922 
an [HPr protein]-Nπ-phospho-L-histidine + β-maltose[periplasm] -> β-maltose 6'-phosphate[cytosol] + an [HPr]-L-histidine	1924 790 	791 1922 
an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + a [ThiI sulfur-carrier protein]-L-cysteine -> an [L-cysteine desulfurase]-L-cysteine + a [ThiI sulfur-carrier protein]-S-sulfanyl-L-cysteine	1935 1928 	1937 1926 
an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + a carboxy-adenylated-[ThiS sulfur-carrier protein] + a reduced electron acceptor -> a thiocarboxy-[ThiS-Protein] + an [L-cysteine desulfurase]-L-cysteine + AMP + an oxidized electron acceptor + 2 H+	1935 1927 1609 	1621 1937 707 1608 1064 
an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + a cytosine32 in tRNA + ATP + 2 a reduced ferredoxin [iron-sulfur] cluster + H+ -> an [L-cysteine desulfurase]-L-cysteine + a 2-thiocytosine32 in tRNA + AMP + 2 an oxidized ferredoxin [iron-sulfur] cluster + diphosphate	1935 2298 718 1628 1064 	1937 2299 707 1629 955 
an [L-cysteine desulfurase]-S-sulfanyl-L-cysteine + an unsulfurated [sulfur carrier] <=> an [L-cysteine desulfurase]-L-cysteine + a sulfurated [sulfur carrier]	1935 1657 	1937 1654 
an [RNA 3'-phosphate cyclase]-Nτ-(5'-adenylyl)-L-histidine + an [RNA]-3'-ribonucleoside-3'-phosphate + H+ -> an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoadenosine) + an [RNA 3'-phosphate cyclase]-L-histidine	2300 2301 1064 	2302 2303 
an [RNA] containing cytidine -> an [RNA]-3'-cytidine-2',3'-cyclophosphate + a 5'-hydroxy-ribonucleotide-3'-[RNA]	2304	2305 2306 
an [RNA] containing cytidine + H2O -> an [RNA]-3'-cytidine-3'-phosphate + a 5'-hydroxy-ribonucleotide-3'-[RNA] + H+	2304 1066 	2307 2306 1064 
an [RNA] containing uridine -> an [RNA]-3'-uridine-2',3'-cyclophosphate + a 5'-hydroxy-ribonucleotide-3'-[RNA]	2308	2309 2306 
an [RNA] containing uridine + H2O -> an [RNA]-3'-uridine-3'-phosphate + a 5'-hydroxy-ribonucleotide-3'-[RNA] + H+	2308 1066 	2310 2306 1064 
an [RNA]-3'-cytidine-2',3'-cyclophosphate + H2O -> an [RNA]-3'-cytidine-3'-phosphate + H+	2305 1066 	2307 1064 
an [RNA]-3'-ribonucleoside-3'-(5'-diphosphoadenosine) -> an [RNA]-3'-ribunucleoside-2',3'-cyclophosphate + AMP + H+	2302	2311 707 1064 
an [RNA]-3'-ribonucleoside-3'-phosphate + ATP -> an [RNA]-3'-ribunucleoside-2',3'-cyclophosphate + AMP + diphosphate	2301 718 	2311 707 955 
an [RNA]-3'-ribunucleoside-2',3'-cyclophosphate + H2O -> an [RNA]-3'-ribonucleoside-3'-phosphate + H+	2311 1066 	2301 1064 
an [RNA]-3'-ribunucleoside-2',3'-cyclophosphate + H2O -> an [RNA]-3'-ribunucleoside-2'-phosphate + H+	2311 1066 	2312 1064 
an [RNA]-3'-uridine-2',3'-cyclophosphate + H2O -> an [RNA]-3'-uridine-3'-phosphate + H+	2309 1066 	2310 1064 
an acetyl ester + H2O -> an alcohol + acetate + H+	2313 1066 	1857 591 1064 
an acetyl-[acp] + a malonyl-[acp] + H+ = acyl-carrier protein + an acetoacetyl-[acp] + CO2	2314 1776 1064 	1624 1713 834 
an acetyl-holo [citrate lyase acyl-carrier protein] + H2O -> a holo [citrate lyase acyl-carrier protein] + acetate + H+	1993 1066 	1669 591 1064 
an acid[cytosol] -> an acid[periplasm]	2315	2315
an acyl phosphate + H2O = a carboxylate + phosphate + H+	2316 1066 	1815 1354 1064 
an acyl-[acyl-carrier protein] + 1-stearoyl-sn-glycerol 3-phosphate = a 1-stearoyl 2-acyl-sn-glycerol 3-phosphate + acyl-carrier protein	2317 183 	2318 1624 
an acyl-[acyl-carrier protein] + a 1-acyl-sn-glycerol 3-phosphate -> a 1,2-diacyl-sn-glycerol 3-phosphate + acyl-carrier protein	2317 2319 	1939 1624 
an acyl-[acyl-carrier protein] + a malonyl-[acp] + H+ -> a 3-oxoacyl-[acp] + CO2 + acyl-carrier protein	2317 1776 1064 	1708 834 1624 
an acyl-[acyl-carrier protein] + sn-glycerol 3-phosphate -> a 1-acyl-sn-glycerol 3-phosphate + acyl-carrier protein	2317 1455 	2319 1624 
an acyl-CoA + a 1-acyl-sn-glycerol 3-phosphate -> a 1,2-diacyl-sn-glycerol 3-phosphate + coenzyme A	1901 2319 	1939 856 
an acyl-CoA + a 1-alkyl-sn-glycerol 3-phosphate = a 2-acyl-1-alkyl-sn-glycerol 3-phosphate + coenzyme A	1901 2320 	2321 856 
an acyl-CoA + acetyl-CoA <- a 3-oxoacyl-CoA + coenzyme A	1826 856 	1901 595 
an acyl-CoA + H2O -> a carboxylate + coenzyme A + H+	1901 1066 	1815 856 1064 
an acyl-CoA + sn-glycerol 3-phosphate -> a 1-acyl-sn-glycerol 3-phosphate + coenzyme A	1901 1455 	2319 856 
an adenosine-5'-diphospho-5'-[DNA] + a [DNA]-3'-hydroxyl -> DNAn + AMP + H+	1875 1876 	1877 707 1064 
an adenosine34 in [tRNAArg2] + H+ + H2O = an inosine34 in [tRNAArg2] + ammonium	2322 1064 1066 	2323 706 
an ADP-sugar + H2O = AMP + an α-D-aldose 1-phosphate + 2 H+	2324 1066 	707 2205 1064 
an alcohol + NAD(P)+ <- an aldehyde + NAD(P)H + H+	2132 1601 1064 	1857 1600 
an aldehyde + 2 an oxidized ferredoxin [iron-sulfur] cluster + H2O = a carboxylate + 2 a reduced ferredoxin [iron-sulfur] cluster + 3 H+	2132 1629 1066 	1815 1628 1064 
an aliphatic amine + H2O + oxygen -> an aldehyde + ammonium + hydrogen peroxide	2325 1066 1336 	2132 706 1075 
an alkylated DNA + H2O -> a DNA containing an apurinic/apyrimidinic site + an alkylated nucleobase	2326 1066 	2027 2327 
an alkylsulfonate + FMNH2 + oxygen -> an aldehyde + sulfite + FMN + H2O + 2 H+	2328 993 1336 	2132 1469 992 1066 1064 
an amino acid[periplasm] + ATP + H2O -> an amino acid[cytosol] + ADP + phosphate + H+	1843 718 1066 	1843 616 1354 1064 
an amino acid[periplasm] + H+[periplasm] -> an amino acid[cytosol] + H+[cytosol]	1843 1064 	1843 1064 
an anion[periplasm] -> an anion[cytosol]	2329	2329
an anion[periplasm] + H+[periplasm] -> an anion[cytosol] + H+[cytosol]	2329 1064 	2329 1064 
an apo [peptidyl-carrier protein] + coenzyme A -> adenosine 3',5'-bisphosphate + a holo [peptidyl-carrier protein] + H+	2330 856 	602 2331 1064 
an apo acyl-carrier protein + coenzyme A -> adenosine 3',5'-bisphosphate + a holo acyl-carrier protein + H+	2055 856 	602 2054 1064 
an apo-[aryl-carrier protein] + coenzyme A -> adenosine 3',5'-bisphosphate + a holo-[aryl-carrier protein] + H+	2332 856 	602 2333 1064 
an apo-[LYS2 L-2-aminoadipyl-carrier-protein] + coenzyme A = adenosine 3',5'-bisphosphate + a holo-[LYS2 L-2-aminoadipyl-carrier-protein] + H+	2334 856 	602 2335 1064 
an arachidoyl-[acp] + malonyl-CoA + H+ = a 3-oxodocosanoyl-[acp] + CO2 + coenzyme A	2336 1208 1064 	1718 834 856 
an aromatic amino acid + 2-oxoglutarate <=> an aromatic 2-oxo-acid + L-glutamate	2337 280 	2338 1157 
an aromatic amino acid[cytosol] <- an aromatic amino acid[periplasm]	2337	2337
an aryl dialkyl phosphate + H2O -> a dialkyl phosphate + a phenol	2339 1066 	2340 2108 
an E. coli osmoregulated periplasmic glucan (OPG) + an L-1-phosphatidylethanolamine = an E. coli osmoregulated periplasmic glucan with phosphotidylethanolamine substituent + a 1,2-diacyl-sn-glycerol	2341 1825 	2342 2343 
an electron-transfer quinone[membrane] + 2 H+[in] + 2 e-[membrane] -> an electron-transfer quinol[membrane]	1614 1064 1606 	1615
an electron-transfer quinone[membrane] + 2 H+[out] + 2 e-[membrane] -> an electron-transfer quinol[membrane]	1614 1064 1606 	1615
an electron-transfer quinone[membrane] + NAD(P)H[in] + H+[in] -> an electron-transfer quinol[membrane] + NAD(P)+[in]	1614 1601 1064 	1615 1600 
an insertion sequence element IS30 = an insertion sequence IS30 with integrated transposon	2344	2345
an isocitrate dehydrogenase + ATP <=> a phosphorylated isocitrate dehydrogenase + ADP	2115 718 	2114 616 
an L-1-phosphatidyl-sn-glycerol + an L-1-phosphatidylethanolamine -> a cardiolipin + ethanolamine	1617 1825 	1630 980 
an L-1-phosphatidyl-sn-glycerol + an osmoregulated periplasmic glucan = an osmoregulated periplasmic glucan with phosphoglycerol substituent + a 1,2-diacyl-sn-glycerol + H+	1617 2346 	2347 2343 1064 
an L-1-phosphatidyl-sn-glycerol + ATP -> 1-(3-sn-phosphatidyl)-sn-glycerol 3-phosphate + ADP + H+	1617 718 	1616 616 1064 
an L-1-phosphatidylethanolamine + core oligosaccharide-lipid A (E. coli K-12 core type) + H+ = a 1,2-diacyl-sn-glycerol + lipid A-core-pyrophosphoethanolamine	1825 859 1064 	2343 1199 
an L-1-phosphatidylethanolamine + core oligosaccharide-lipid A (E. coli K-12 core type) + H+ -> a 1,2-diacyl-sn-glycerol + lipid A-core-phosphoethanolamine (hep I)	1825 859 1064 	2343 1198 
an L-1-phosphatidylethanolamine + H2O -> a 2-acyl-1-lyso-phosphatidylethanolamine + a fatty acid + H+	1825 1066 	1814 2112 1064 
an L-cysteine-S-conjugate -> a thiol + 2-aminoprop-2-enoate	2348	2349 231 
an L-cysteine-S-conjugate + H2O = a thiol + pyruvate + ammonium	2348 1066 	2349 1401 706 
an L-cysteinyl-[tRNACys] + H2O = L-cysteine + a tRNACys + H+	2178 1066 	1149 2177 1064 
an L-leucyl-[tRNALeu] + an N-terminal arginyl-[protein] -> a [protein] N-terminal L-leucyl-L-arginine + a tRNALeu + H+	2188 2350 	2351 2187 1064 
an L-leucyl-[tRNALeu] + an N-terminal L-lysyl-[protein] -> a [protein] N-terminal L-leucyl-L-lysine + a tRNALeu + H+	2188 2352 	2353 2187 1064 
an L-phenylalanyl-[tRNAPhe] + an N-terminal arginyl-[protein] -> L-phenylalanyl-L-arginyl-[protein] + a tRNAPhe + H+	2190 2350 	2354 2189 1064 
an L-phenylalanyl-[tRNAPhe] + an N-terminal L-lysyl-[protein] -> L-phenylalanyl-L-lysyl-[protein] + a tRNAPhe + H+	2190 2352 	2355 2189 1064 
an mRNA + H2O -> 2 an mRNA fragment	2356 1066 	2357
an N-acetyl-β-D-hexosaminide + H2O -> an N-acetyl-β-D-hexosamine + an alcohol	2358 1066 	2359 1857 
an N-acyl-D-mannosamine + ATP = an N-acyl-α-D-mannosamine 6-phosphate + ADP + H+	2360 718 	2361 616 1064 
an N-formyl-L-methionylaminoacyl-tRNA + H2O -> a L-methionylaminoacyl-tRNA + formate + H+	2362 1066 	2363 995 1064 
an N-hydroxy-arylamine + acetyl-CoA -> an N-acetoxyarylamine + coenzyme A	2364 595 	2365 856 
an N-modified aminoacyl-[tRNA] + H2O -> an uncharged tRNA + an N-modified amino acid + H+	2366 1066 	2000 2367 1064 
an N-terminal 3-sulfeno-L-alanyl-[protein] + hydrogen peroxide -> an N-terminal 3-sulfino-L-alanyl-[protein] + H2O	2368 1075 	2369 1066 
an N-terminal 3-sulfino-L-alanyl-[protein] + hydrogen peroxide -> an N-terminal 3-sulfo-L-alanyl-[protein] + H2O + H+	2369 1075 	2370 1066 1064 
an N-terminal L-cysteinyl-[protein] + hydrogen peroxide -> an N-terminal 3-sulfeno-L-alanyl-[protein] + H2O	2371 1075 	2368 1066 
an N-terminal-L-methionyl-glycyl-[protein] + H2O -> an N-terminal glycyl-[protein] + L-methionine	2372 1066 	2373 1169 
an N-terminal-L-methionyl-L-alanyl-[protein] + H2O -> an N-terminal L-alanyl-[protein] + L-methionine	2374 1066 	2375 1169 
an N-terminal-L-methionyl-L-cysteinyl-[protein] + H2O -> an N-terminal L-cysteinyl-[protein] + L-methionine	2376 1066 	2371 1169 
an N-terminal-L-methionyl-L-seryl-[protein] + H2O -> an N-terminal L-seryl-[protein] + L-methionine	2377 1066 	2378 1169 
an N-terminal-L-methionyl-L-threonyl-[protein] + H2O -> an N-terminal L-threonyl-[protein] + L-methionine	2379 1066 	2380 1169 
an N-terminal-L-methionyl-L-valyl-[protein] + H2O -> an N-terminal L-valyl-[protein] + L-methionine	2381 1066 	2382 1169 
an N1-ethyladenine in DNA + 2-oxoglutarate + oxygen -> an adenine in DNA + acetaldehyde + succinate + CO2	2383 280 1336 	2384 589 1462 834 
an N1-methyladenine in DNA + 2-oxoglutarate + oxygen -> an adenine in DNA + CO2 + formaldehyde + succinate	2385 280 1336 	2384 834 994 1462 
an N3-methyladenine in DNA + H2O -> an apurinic site within DNA + 3-methyladenine	2386 1066 	1848 343 
an N3-methylcytosine in DNA + 2-oxoglutarate + oxygen -> a cytosine in DNA + CO2 + formaldehyde + succinate + H+	2387 280 1336 	2388 834 994 1462 1064 
an N6-(1-hydroxy-2-oxopropyl)-[protein]-L-lysine + H2O -> a [protein]-L-lysine + (R)-lactate	2389 1066 	1918 110 
an Nω-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine -> a [protein]-L-lysine-N-2-(4,5-dihydro-4-methyl-1H-imidazol-4,5-diol) + H+	2390	1905 1064 
an Nω-(1-hydroxy-2-oxopropyl)-[protein]-L-arginine + H2O = a [protein]-L-arginine + (R)-lactate + H+	2390 1066 	2391 110 1064 
an O-antigen[cytosol] -> an O-antigen[periplasm]	2392	2392
an O4-methylthymine in DNA + a [protein]-L-cysteine = a thymine in DNA + a [protein]-S-methyl-L-cysteine	2393 1827 	2394 2029 
an O6-methylguanine in DNA + a [protein]-L-cysteine -> a guanine in DNA + a [protein]-S-methyl-L-cysteine	2395 1827 	2396 2029 
an octanoyl-[acp] + [glycine cleavage system lipoyl-carrier protein]-L-lysine -> a [glycine-cleavage complex H protein] N6-octanoyl-L-lysine + acyl-carrier protein + H+	2397 1594 	1659 1624 1064 
an octanoyl-[acp] + a [lipoyl-carrier protein]-L-lysine -> a [lipoyl-carrier protein] N6-octanoyl-L-lysine + acyl-carrier protein + H+	2397 1596 	1660 1624 1064 
an octanoyl-[acp] + a malonyl-[acp] + H+ -> a 3-oxodecanoyl-[acp] + CO2 + acyl-carrier protein	2397 1776 1064 	1716 834 1624 
an octanoyl-[acp] + malonyl-CoA + H+ = a 3-oxodecanoyl-[acp] + CO2 + coenzyme A	2397 1208 1064 	1716 834 856 
an octanoyl-[acp] + NAD+ <- a (2E)-oct-2-enoyl-[acp] + NADH + H+	1739 1299 1064 	2397 1298 
an odd numbered straight chain 2,3,4-saturated fatty acid + ATP + coenzyme A -> an odd numbered straight chain 2,3,4-saturated fatty acyl CoA + AMP + diphosphate	2398 718 856 	2399 707 955 
an oleoyl-[acp] + 1-stearoyl-sn-glycerol 3-phosphate = 1-stearoyl-2-oleoyl-sn-glycerol 3-phosphate + acyl-carrier protein	2400 183 	180 1624 
an oleoyl-[acp] + a malonyl-[acp] + H+ -> an (11Z)-3-oxo-icos-11-enoyl-[acp] + acyl-carrier protein + CO2	2400 1776 1064 	1752 1624 834 
an oligopeptide + H2O -> 2 a peptide	2401 1066 	1845
an oligopeptide + H2O -> 2 a peptide	2401 1066 	1845
an oligopeptide[periplasm] + ATP + H2O -> an oligopeptide[cytosol] + ADP + phosphate + H+	2401 718 1066 	2401 616 1354 1064 
an organic hydroperoxide + NADH + H+ -> an alcohol + NAD+ + H2O	1856 1299 1064 	1857 1298 1066 
an oxidized [NapC protein][out] + e-[membrane] -> a reduced [NapC protein][out]	2402 1606 	2403
an oxidized c-type cytochrome[out] + e-[membrane] -> a reduced c-type cytochrome[out]	1651 1606 	1650
an oxidized electron acceptor + H2 <=> a reduced electron acceptor	1608 1065 	1609
an oxidized electron-transfer flavoprotein + cis-vaccenoyl-CoA + H+ -> (2E,11Z)-octadecenoyl-CoA + a reduced electron-transfer flavoprotein	1587 827 1064 	16 1588 
an oxidized electron-transfer flavoprotein + palmitoleoyl-CoA + H+ -> (2E,9Z)-hexadecenoyl-CoA + a reduced electron-transfer flavoprotein	1587 1340 1064 	22 1588 
an oxidized ferredoxin [iron-sulfur] cluster[out] + e-[membrane] -> a reduced ferredoxin [iron-sulfur] cluster[out]	1629 1606 	1628
an oxidized nitroaromatic compound + NAD(P)H = a reduced nitroaromatic compound + NAD(P)+	2404 1601 	2405 1600 
an oxidized thioredoxin + a reduced electron acceptor <- a reduced thioredoxin + an oxidized electron acceptor	1682 1608 	1683 1609 
an S-(1-hydroxy-2-oxopropyl)-[protein]-L-cysteine + H2O = a [protein]-L-cysteine + (R)-lactate + H+	2406 1066 	1827 110 1064 
an S-alkyl-L-cysteine -> an alkyl-thiol + 2-aminoprop-2-enoate	2407	2408 231 
an S-alkyl-L-cysteine + H2O -> an alkyl-thiol + pyruvate + ammonium	2407 1066 	2408 1401 706 
an S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex -> a [cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex	2409	2410
an S-sulfanyl-[cysteine desulfurase]-S-sulfanyl-[disordered-form scaffold protein] complex -> a [cysteine desulfurase]-(S-sulfanyl)2-[disordered-form scaffold protein] complex	2411	1869
an S-sulfanyl-[L-cysteine desulfurase] + a [disordered-form [Fe-S] cluster scaffold protein] -> an S-sulfanyl-[cysteine desulfurase]-[disordered-form scaffold protein] complex	2412 1863 	2409
an α-limit dextrin = a debranched α-limit dextrin	2045	2009
an α-limit dextrin <=> a α-limit dextrin with short branches	2045	2413
anthranilate + N,N-dimethyl-1,4-phenylenediamine + 2 NAD+ <- methyl red + 2 NADH + 2 H+	1221 1299 1064 	713 1241 1298 
arbutin-6-phosphate + H2O -> β-D-glucose 6-phosphate + hydroquinone	715 1066 	768 1080 
arbutin[periplasm] + an [HPr protein]-Nπ-phospho-L-histidine -> arbutin-6-phosphate[cytosol] + an [HPr]-L-histidine	714 1924 	715 1922 
arsenate + a reduced glutaredoxin + H+ -> arsenite + an oxidized glutaredoxin + H2O	716 1649 1064 	717 1648 1066 
AsbD acyl-carrier protein + coenzyme A = adenosine 3',5'-bisphosphate + a holo-[AsbD acyl-carrier protein] + H+	2414 856 	602 2415 1064 
ATP = cyclic-AMP + diphosphate	718	871 955 
ATP + (polyphosphate)(n) = ADP + (polyphosphate)(n+1)	718 1599 	616 1599 
ATP + (R)-lipoate + H+ -> (lipoyl)adenylate + diphosphate	718 111 1064 	103 955 
ATP + (S)-NADHX -> ADP + NADH + phosphate + H+	718 134 	616 1299 1354 1064 
ATP + 2-(formamido)-N1-(5-phospho-β-D-ribosyl)acetamidine -> ADP + 5-amino-1-(5-phospho-β-D-ribosyl)imidazole + phosphate + H+	718 227 	616 438 1354 1064 
ATP + 2-methylbutanoate + coenzyme A -> AMP + 2-methylbutanoyl-CoA + diphosphate	718 2416 856 	707 270 955 
ATP + 2-succinylbenzoate + coenzyme A -> 4-(2'-carboxyphenyl)-4-oxobutyryl-CoA + ADP + phosphate	718 288 856 	395 616 1354 
ATP + 4-amino-2-methyl-5-pyrimidinemethanol -> ADP + 4-amino-2-methyl-5-(phosphooxymethyl)pyrimidine + H+	718 402 	616 401 1064 
ATP + 5-(2-hydroxyethyl)-4-methylthiazole -> ADP + 4-methyl-5-(2-phosphooxyethyl)thiazole + H+	718 436 	616 417 1064 
ATP + 5-amino-1-(5-phospho-D-ribosyl)imidazole-4-carboxylate + L-aspartate -> ADP + 5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole + phosphate + H+	718 440 1140 	616 431 1354 1064 
ATP + a [protein]-L-tyrosine = ADP + a [protein]-L-tyrosine phosphate + H+	718 1915 	616 1914 1064 
ATP + a dipeptide[periplasm] + H2O -> ADP + a dipeptide[cytosol] + phosphate + H+	718 2022 1066 	616 2022 1354 1064 
ATP + a supercoiled duplex DNA + H2O -> ADP + 2 a single stranded DNA + phosphate	718 2417 1066 	616 2155 1354 
ATP + a xenobiotic[in] + H2O -> ADP + a xenobiotic[out] + phosphate	718 2418 1066 	616 2418 1354 
ATP + acetate <- ADP + acetyl phosphate	616 594 	718 591 
ATP + acetyl-CoA + hydrogencarbonate -> ADP + malonyl-CoA + phosphate + H+	718 595 1078 	616 1208 1354 1064 
ATP + AMP <=> 2 ADP	718 707 	616
ATP + an [RNA 3'-phosphate cyclase]-L-histidine -> an [RNA 3'-phosphate cyclase]-Nτ-(5'-adenylyl)-L-histidine + diphosphate	718 2303 	2300 955 
ATP + an aliphatic sulfonate[periplasm] + H2O -> an aliphatic sulfonate[cytosol] + ADP + phosphate + H+	718 2419 1066 	2419 616 1354 1064 
ATP + arsenite[in] + H2O -> ADP + arsenite[out] + phosphate + H+	718 717 1066 	616 717 1354 1064 
ATP + cefoperazone[in] + H2O -> ADP + cefoperazone[out] + phosphate + H+	718 819 1066 	616 819 1354 1064 
ATP + CMP <=> ADP + CDP	718 831 	616 816 
ATP + D-gluconate -> D-gluconate 6-phosphate + ADP + H+	718 894 	895 616 1064 
ATP + D-methionine[out] + H2O -> ADP + D-methionine[in] + phosphate + H+	718 906 1066 	616 906 1354 1064 
ATP + D-ribulose = ADP + D-ribulose 5-phosphate + H+	718 908 	616 910 1064 
ATP + D-sedoheptulose -> ADP + D-sedoheptulose 1-phosphate + H+	718 2420 	616 912 1064 
ATP + dAMP -> ADP + dADP	718 925 	616 924 
ATP + dCMP -> ADP + dCDP	718 928 	616 927 
ATP + dGMP <=> ADP + dGDP	718 938 	616 937 
ATP + dIDP <=> ADP + dITP	718 945 	616 957 
ATP + dTMP -> ADP + dTDP	718 971 	616 965 
ATP + ferric-enterobactin complex[periplasm] + H2O -> ADP + ferric-enterobactin complex[cytosol] + phosphate + H+	718 989 1066 	616 989 1354 1064 
ATP + FMN + H+ -> FAD + diphosphate	718 992 1064 	983 955 
